type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	rea_LOVE	rea_HAHA	rea_WOW	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_page_5281959998	5281959998_10151812381994999	https://www.facebook.com/5281959998/posts/10151812381994999/	"More than 120 000 pounds of chicken nuggets have been recalled this month. Many of them contained rubber or wood."	https://external.xx.fbcdn.net/safe_image.php?d=AQBXYkUp6IFDNJUj&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F30%2Fus%2Fpolitics%2F31xp-tyson%2Fmerlin_42457189_0bc630ab-4939-4939-8470-b2550ba096c1-facebookJumbo.jpg&cfs=1&_nc_hash=AQCLGhMKXfA0saK7	https://external.xx.fbcdn.net/safe_image.php?d=AQAuSqKm5vvPne4g&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F30%2Fus%2Fpolitics%2F31xp-tyson%2Fmerlin_42457189_0bc630ab-4939-4939-8470-b2550ba096c1-facebookJumbo.jpg&_nc_hash=AQADJPwwcK6SBvI3	https://www.nytimes.com/2019/01/30/us/tyson-chicken-nuggets-recall-dino.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T23:55:00+0000	1548892500	"2019-01-31 00:55:00"	319	755	1111	1053	2919	4	86	471	44	187	0
link	post_page_5281959998	5281959998_10151812301674999	https://www.facebook.com/5281959998/posts/10151812301674999/	"Iran s President Hassan Rouhani is blaming America sanctions for the country s economic situation."	https://external.xx.fbcdn.net/safe_image.php?d=AQD9hOCnhSmwl4cr&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fworld%2F31iran1%2F31iran1-facebookJumbo.jpg&cfs=1&sx=443&sy=0&sw=549&sh=549&_nc_hash=AQBP0TD7Hs8tnoYX	https://external.xx.fbcdn.net/safe_image.php?d=AQBAhFUvt3kMj9_D&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fworld%2F31iran1%2F31iran1-facebookJumbo.jpg&_nc_hash=AQAcNDFO58FR-IAD	https://www.nytimes.com/2019/01/30/world/middleeast/iran-economy.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T23:25:00+0000	1548890700	"2019-01-31 00:25:00"	193	280	359	82	721	10	55	26	70	5	0
link	post_page_5281959998	5281959998_10151812367099999	https://www.facebook.com/5281959998/posts/10151812367099999/	"“I received a $400 check in the mail from a group of schoolchildren from Arkansas ” a Cornell University professor said. “These kids were so upset about the idea of starfish disappearing from the oceans that they went out and they did this fund-raiser and raised 400 bucks for us to help in our research. I never asked them to do this. They just did it.”"	https://external.xx.fbcdn.net/safe_image.php?d=AQDo5IUzmk1gJuOt&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fclimate%2F31CLI-SEASTARS1%2F31CLI-SEASTARS1-facebookJumbo.jpg&cfs=1&_nc_hash=AQBSim1Yy6mVkAUz	https://external.xx.fbcdn.net/safe_image.php?d=AQDZi8-2LbfL461O&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fclimate%2F31CLI-SEASTARS1%2F31CLI-SEASTARS1-facebookJumbo.jpg&_nc_hash=AQBbGxohSRk86hMv	https://www.nytimes.com/2019/01/30/climate/starfish-global-warming.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T22:55:00+0000	1548888900	"2019-01-30 23:55:00"	3501	136	6183	1062	7381	1071	6	133	1421	51	0
link	post_page_5281959998	5281959998_10151812284454999	https://www.facebook.com/5281959998/posts/10151812284454999/	"Thinking about quitting Facebook? A major new study offers a glimpse of what unplugging might do for your life. (Spoiler: It’s not so bad.)"	https://external.xx.fbcdn.net/safe_image.php?d=AQBaI1ilD_QPay4Q&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F13%2Fscience%2F13FACEBOOK%2F13FACEBOOK-facebookJumbo.jpg&cfs=1&_nc_hash=AQCxRXf5aG0wMqHR	https://external.xx.fbcdn.net/safe_image.php?d=AQAmO7DnvzfYJqqd&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F13%2Fscience%2F13FACEBOOK%2F13FACEBOOK-facebookJumbo.jpg&_nc_hash=AQBzbeGzFHqa6ve0	https://www.nytimes.com/2019/01/30/health/facebook-psychology-health.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T22:25:00+0000	1548887100	"2019-01-30 23:25:00"	564	115	623	271	1009	31	22	3	2	1	0
link	post_page_5281959998	5281959998_10151812377824999	https://www.facebook.com/5281959998/posts/10151812377824999/	"Breaking News: Do e-cigarettes actually help smokers quit? The first large study gives a clear answer: yes. Almost twice as well as gum or patches."	https://external.xx.fbcdn.net/safe_image.php?d=AQBZuIQ6Lr7CFo2k&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fscience%2F31ECIGS%2F31ECIGS-facebookJumbo.jpg&cfs=1&_nc_hash=AQC02qj6AacpsW3c	https://external.xx.fbcdn.net/safe_image.php?d=AQA3j1fbkkaVu1tp&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fscience%2F31ECIGS%2F31ECIGS-facebookJumbo.jpg&_nc_hash=AQCMyUpUJ3hlFwB3	https://www.nytimes.com/2019/01/30/health/ecigarettes-nicotine-smoking-quit.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T22:19:07+0000	1548886747	"2019-01-30 23:19:07"	885	597	1037	346	1980	68	22	56	1	5	0
link	post_page_5281959998	5281959998_10151812268694999	https://www.facebook.com/5281959998/posts/10151812268694999/	"The judge presiding over more than 1 500 federal opioid lawsuits had hoped to settle them by now. But the behemoth litigation is only becoming more bloated  contentious and difficult to resolve. Here s how to make sense of it."	https://external.xx.fbcdn.net/safe_image.php?d=AQDzzqr7kxVnA0As&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fscience%2F31OPIOID-COURTS1%2F31OPIOID-COURTS1-facebookJumbo.jpg&cfs=1&sx=278&sy=0&sw=550&sh=550&_nc_hash=AQCoFdQMb6z6Iegw	https://external.xx.fbcdn.net/safe_image.php?d=AQAwd6K0CePjElwm&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fscience%2F31OPIOID-COURTS1%2F31OPIOID-COURTS1-facebookJumbo.jpg&_nc_hash=AQBCPPCErY42G4ZF	https://www.nytimes.com/2019/01/30/health/opioid-lawsuits-settlement-trial.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T21:55:00+0000	1548885300	"2019-01-30 22:55:00"	97	16	121	42	179	1	1	21	0	1	0
link	post_page_5281959998	5281959998_10151812328559999	https://www.facebook.com/5281959998/posts/10151812328559999/	"This recipe for astonishingly delicious creamy lemon pasta is surprisingly easy to make."	https://external.xx.fbcdn.net/safe_image.php?d=AQDhkuefzivELInZ&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F15%2Fdining%2Fbk-creamy-lemon-pasta%2Fmerlin_148333125_37bb211c-7509-43e3-891f-39a1930df3ed-threeByTwoMediumAt2X.jpg&cfs=1&_nc_hash=AQApyQ6WVz7lpPao	https://external.xx.fbcdn.net/safe_image.php?d=AQC1JXuE4qCqWQvy&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F15%2Fdining%2Fbk-creamy-lemon-pasta%2Fmerlin_148333125_37bb211c-7509-43e3-891f-39a1930df3ed-threeByTwoMediumAt2X.jpg&_nc_hash=AQDF1BL4sjzLPyWj	https://cooking.nytimes.com/recipes/8355-creamy-lemon-pasta?smid=fb-nytimes&smtyp=cur	cooking.nytimes.com	2019-01-30T21:40:00+0000	1548884400	"2019-01-30 22:40:00"	377	48	405	202	655	21	0	6	1	0	0
link	post_page_5281959998	5281959998_10151812258054999	https://www.facebook.com/5281959998/posts/10151812258054999/	"On Venezuela  Russian columnists and TV pundits ask daily   What should Russia do?  So far  the answer from the Kremlin seems to be that it will mainly fulminate from the sidelines about American plots  writes Neil MacFarquhar."	https://external.xx.fbcdn.net/safe_image.php?d=AQAMovsOhHhdsBRx&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fworld%2F31russia-venezuela-1%2F31russia-venezuela-1-facebookJumbo-v2.jpg&cfs=1&sx=364&sy=0&sw=549&sh=549&_nc_hash=AQA9vyeeGXH4oGol	https://external.xx.fbcdn.net/safe_image.php?d=AQDDFZBsfa5_gB5i&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fworld%2F31russia-venezuela-1%2F31russia-venezuela-1-facebookJumbo-v2.jpg&_nc_hash=AQA6MXQly0LDHgEz	https://www.nytimes.com/2019/01/30/world/europe/russia-venezuela-putin-maduro.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T21:25:00+0000	1548883500	"2019-01-30 22:25:00"	141	179	172	47	398	4	16	4	0	7	0
link	post_page_5281959998	5281959998_10151812332634999	https://www.facebook.com/5281959998/posts/10151812332634999/	"Are you living through the polar vortex? We want your recommendations for staying warm and busy. What are you cooking or binge-watching? What board games are you playing? If you’re venturing outside  what are you doing to stay safe?"	https://external.xx.fbcdn.net/safe_image.php?d=AQAheQr2wZR1sJyI&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F02%2F01%2Freader-center%2F01readers-polar-vortex%2Fmerlin_149975325_d59f3e0c-a6cd-4d9f-babd-50ffe799603b-facebookJumbo.jpg&cfs=1&_nc_hash=AQAquEGNwN4OerQC	https://external.xx.fbcdn.net/safe_image.php?d=AQBpsNH-IqoQTJAD&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F02%2F01%2Freader-center%2F01readers-polar-vortex%2Fmerlin_149975325_d59f3e0c-a6cd-4d9f-babd-50ffe799603b-facebookJumbo.jpg&_nc_hash=AQBGKQ0UONrlITHA	https://www.nytimes.com/2019/01/30/reader-center/polar-vortex-tips.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T21:19:47+0000	1548883187	"2019-01-30 22:19:47"	189	679	239	44	962	13	27	7	3	0	0
link	post_page_5281959998	5281959998_10151812323429999	https://www.facebook.com/5281959998/posts/10151812323429999/	"As Brexit looks increasingly messy and self-destructive  there is a growing sense  even in the populist corners of the continent  that if this is what leaving the EU looks like  no  thank you  writes Steven Erlanger."	https://external.xx.fbcdn.net/safe_image.php?d=AQC3_NczJT0YRlzN&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fworld%2F31europe1%2Fmerlin_149948667_9a0342f5-2820-4082-ae09-0a872170c4e0-facebookJumbo.jpg&cfs=1&_nc_hash=AQC38JZb2DyHNhRw	https://external.xx.fbcdn.net/safe_image.php?d=AQB4yFv7Bss6YpiQ&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fworld%2F31europe1%2Fmerlin_149948667_9a0342f5-2820-4082-ae09-0a872170c4e0-facebookJumbo.jpg&_nc_hash=AQAjStsZ4vPWbveW	https://www.nytimes.com/2019/01/30/world/europe/european-union-brexit.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T21:10:00+0000	1548882600	"2019-01-30 22:10:00"	647	373	787	148	1308	45	84	7	4	0	0
link	post_page_5281959998	5281959998_10151812249604999	https://www.facebook.com/5281959998/posts/10151812249604999/	"The death of Malaysia Goodson in a New York City subway station is prompting discussion about the dangers of navigating the city s public transportation with a stroller  wheelchair or disability  and the need to help fellow riders."	https://external.xx.fbcdn.net/safe_image.php?d=AQA6uTT6acU9QLfE&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fnyregion%2F31subwaydeath%2F31subwaydeath-facebookJumbo.jpg&cfs=1&_nc_hash=AQDazu1WA9dXikCu	https://external.xx.fbcdn.net/safe_image.php?d=AQB85bgwNT2gsugh&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fnyregion%2F31subwaydeath%2F31subwaydeath-facebookJumbo.jpg&_nc_hash=AQD2Kz2jlGYFf5Ke	https://www.nytimes.com/2019/01/30/nyregion/mother-falls-down-subway-stairs-death.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T20:55:00+0000	1548881700	"2019-01-30 21:55:00"	908	293	2174	297	2764	20	4	12	1094	136	0
link	post_page_5281959998	5281959998_10151812153889999	https://www.facebook.com/5281959998/posts/10151812153889999/	"How many profiles on Facebook are fake? The company has reported estimates that fluctuate and don t quite add up."	https://external.xx.fbcdn.net/safe_image.php?d=AQBnZ7EualPmnYda&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fbusiness%2F31fakebook%2F30fakebook-facebookJumbo.jpg&cfs=1&_nc_hash=AQAgaZbwVC6ZNdlj	https://external.xx.fbcdn.net/safe_image.php?d=AQBPwipo_7bNJG35&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fbusiness%2F31fakebook%2F30fakebook-facebookJumbo.jpg&_nc_hash=AQA3Kc1h622nKeEz	https://www.nytimes.com/2019/01/30/technology/facebook-fake-accounts.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T20:25:00+0000	1548879900	"2019-01-30 21:25:00"	155	239	232	57	528	2	45	10	2	18	0
link	post_page_5281959998	5281959998_10151812292249999	https://www.facebook.com/5281959998/posts/10151812292249999/	"10 days after a controversial noncall marred the ending of the NFC championship game  NFL Commissioner Roger Goodell is acknowledging that the officials erred."	https://external.xx.fbcdn.net/safe_image.php?d=AQCiH47FNkvLZ5lx&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fsports%2F31goodell-web1%2F31goodell-web1-facebookJumbo.jpg&cfs=1&sx=279&sy=0&sw=550&sh=550&_nc_hash=AQButitb49xZ-SBu	https://external.xx.fbcdn.net/safe_image.php?d=AQDmogJcTZ-HC_2W&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fsports%2F31goodell-web1%2F31goodell-web1-facebookJumbo.jpg&_nc_hash=AQA-mJxMAOcLzbVC	https://www.nytimes.com/2019/01/30/sports/football/roger-goodell-saints-nfl.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T20:03:34+0000	1548878614	"2019-01-30 21:03:34"	486	515	873	212	1600	8	114	149	22	94	0
link	post_page_5281959998	5281959998_10151812190589999	https://www.facebook.com/5281959998/posts/10151812190589999/	"You might think the Strand  the city’s biggest and most famous indie book shop  is a no-brainer for landmark status. But its third-generation owner  Nancy Bass Wyden  is having none of it."	https://external.xx.fbcdn.net/safe_image.php?d=AQD7EPlUmZPi_zmi&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F30%2Farts%2F30strand1%2F30strand1-facebookJumbo.jpg&cfs=1&_nc_hash=AQBhT17e_xyUtZSI	https://external.xx.fbcdn.net/safe_image.php?d=AQCIB3x1kVglXED0&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F30%2Farts%2F30strand1%2F30strand1-facebookJumbo.jpg&_nc_hash=AQCSv9IC5Rf5M5UV	https://www.nytimes.com/2019/01/30/arts/design/strand-bookstore-landmark.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T19:55:00+0000	1548878100	"2019-01-30 20:55:00"	94	42	121	24	187	8	1	15	2	1	0
link	post_page_5281959998	5281959998_10151812183834999	https://www.facebook.com/5281959998/posts/10151812183834999/	"In The New York Times Opinion Section  the editorial board writes   Attempting to hold this administration to account will be among the new Democratic majority’s most vital  and most fraught  duties — especially after two years of cowed Republicans letting the president operate unchecked. "	https://external.xx.fbcdn.net/safe_image.php?d=AQBhVtyGsIs_NPUf&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F30%2Fopinion%2F30dems%2Fmerlin_149953671_9a6083ab-bdd9-48ef-a910-2ecb7d72e088-facebookJumbo.jpg&cfs=1&_nc_hash=AQDRP1CQ_kqBAToJ	https://external.xx.fbcdn.net/safe_image.php?d=AQCIhx5-iIHc69gf&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F30%2Fopinion%2F30dems%2Fmerlin_149953671_9a6083ab-bdd9-48ef-a910-2ecb7d72e088-facebookJumbo.jpg&_nc_hash=AQCiO28-AVtRKD24	https://www.nytimes.com/2019/01/30/opinion/trump-democrats-investigation.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T19:25:00+0000	1548876300	"2019-01-30 20:25:00"	549	196	643	113	952	69	18	2	2	3	0
link	post_page_5281959998	5281959998_10151812259449999	https://www.facebook.com/5281959998/posts/10151812259449999/	"Breaking News: The Federal Reserve indicated for the first time in recent years that it did not anticipate any additional interest rate increases."	https://external.xx.fbcdn.net/safe_image.php?d=AQDHUFByDqkYnSoe&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F11%2F30%2Fbusiness%2Fdealbookemail%2F31DC-FED%2F31DC-FED-facebookJumbo-v2.jpg&cfs=1&sx=500&sy=0&sw=550&sh=550&_nc_hash=AQAGb6i9N4MlRQwr	https://external.xx.fbcdn.net/safe_image.php?d=AQCSiLofMCEj90Z_&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2018%2F11%2F30%2Fbusiness%2Fdealbookemail%2F31DC-FED%2F31DC-FED-facebookJumbo-v2.jpg&_nc_hash=AQBwbuNrf0TPQhLb	https://www.nytimes.com/2019/01/30/us/politics/fed-interest-rate.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T19:09:05+0000	1548875345	"2019-01-30 20:09:05"	434	219	590	156	965	23	20	94	9	10	0
link	post_page_5281959998	5281959998_10151812225189999	https://www.facebook.com/5281959998/posts/10151812225189999/	"If you live in a part of the U.S. gripped by the polar vortex  experts say you really shouldn t go outside. But if you must  here s how to stay safe from frostbite and hypothermia."	https://external.xx.fbcdn.net/safe_image.php?d=AQC42PFgSLFgYH2g&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F30%2Fus%2F30xp-Frostbite1-sub%2Fmerlin_149945814_2f8c2097-50f5-47c4-bcbf-1c28cb381663-facebookJumbo.jpg&cfs=1&sx=416&sy=0&sw=550&sh=550&_nc_hash=AQBccK5UxWUoO-JP	https://external.xx.fbcdn.net/safe_image.php?d=AQAqHXoEC8IW5nEx&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F30%2Fus%2F30xp-Frostbite1-sub%2Fmerlin_149945814_2f8c2097-50f5-47c4-bcbf-1c28cb381663-facebookJumbo.jpg&_nc_hash=AQCNBxwu1CUSB-ZE	https://www.nytimes.com/2019/01/29/health/frostbite-hypothermia-cold-weather.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T18:55:00+0000	1548874500	"2019-01-30 19:55:00"	205	123	267	146	536	5	4	46	7	0	0
link	post_page_5281959998	5281959998_10151812111494999	https://www.facebook.com/5281959998/posts/10151812111494999/	" Is demand slipping?  — and other questions analysts and investors will want to ask Elon Musk when Tesla reports fourth-quarter earnings later today."	https://external.xx.fbcdn.net/safe_image.php?d=AQBtpg31Caub0OjQ&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fbusiness%2F31TESLA-1%2F31TESLA-1-facebookJumbo.jpg&cfs=1&sx=64&sy=0&sw=550&sh=550&_nc_hash=AQDHNwbKnnaFgqlm	https://external.xx.fbcdn.net/safe_image.php?d=AQCYz8P-S6mu62dD&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fbusiness%2F31TESLA-1%2F31TESLA-1-facebookJumbo.jpg&_nc_hash=AQA-m0sR1u3SijFq	https://www.nytimes.com/2019/01/30/business/tesla-earnings-elon-musk.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T18:25:00+0000	1548872700	"2019-01-30 19:25:00"	59	52	64	16	132	3	2	0	0	0	0
link	post_page_5281959998	5281959998_10151812205069999	https://www.facebook.com/5281959998/posts/10151812205069999/	"Government officials debate it daily  in London and on the Continent  and ordinary Britons and Irish people are discussing it  too  if only to say that they don’t understand what it means. Here s your chance to find out what the Irish backstop really is."	https://external.xx.fbcdn.net/safe_image.php?d=AQA7dJjwTNCHD3TH&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fworld%2F31backstrop%2Fmerlin_148328076_177b97cd-a208-444a-a12c-2168477fd10f-facebookJumbo.jpg&cfs=1&_nc_hash=AQDBEL9SU1YSmIY-	https://external.xx.fbcdn.net/safe_image.php?d=AQC3_p9rU1lAZFbj&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fworld%2F31backstrop%2Fmerlin_148328076_177b97cd-a208-444a-a12c-2168477fd10f-facebookJumbo.jpg&_nc_hash=AQATmN4Rlfep6FS3	https://www.nytimes.com/2019/01/30/world/europe/irish-backstop-brexit.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T18:10:00+0000	1548871800	"2019-01-30 19:10:00"	147	117	166	47	330	3	2	12	1	1	0
link	post_page_5281959998	5281959998_10151812214569999	https://www.facebook.com/5281959998/posts/10151812214569999/	"Foxconn is rethinking plans for manufacturing in Wisconsin. Its pledge to build a $10 billion factory with 13 000 jobs was hailed by President Trump."	https://external.xx.fbcdn.net/safe_image.php?d=AQBy7HvcshTPH31o&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fbusiness%2F31foxconn01%2F31foxconn01-facebookJumbo.jpg&cfs=1&_nc_hash=AQD3ZcpyuD6Ej3j5	https://external.xx.fbcdn.net/safe_image.php?d=AQBAvBiiA5mbXEbK&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fbusiness%2F31foxconn01%2F31foxconn01-facebookJumbo.jpg&_nc_hash=AQBjctJrAZR3jLwf	https://www.nytimes.com/2019/01/30/business/foxconn-wisconsin-manufacturing.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T18:06:52+0000	1548871612	"2019-01-30 19:06:52"	270	399	1274	349	2022	5	666	84	47	202	0
link	post_page_5281959998	5281959998_10151812135934999	https://www.facebook.com/5281959998/posts/10151812135934999/	"Democrats considering a presidential run as a moderate would test whether there is a large audience of primary voters open to promises of incremental change and political compromise or whether the party’s ascendant liberal wing is now fully dominant."	https://external.xx.fbcdn.net/safe_image.php?d=AQAkYMvMUlaXClwe&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fus%2Fpolitics%2F31centrists1-promo%2F31centrists1-promo-facebookJumbo-v2.jpg&cfs=1&sx=311&sy=0&sw=550&sh=550&_nc_hash=AQBC-SMbJEDeuXh7	https://external.xx.fbcdn.net/safe_image.php?d=AQBQVEDLwf31ZupW&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fus%2Fpolitics%2F31centrists1-promo%2F31centrists1-promo-facebookJumbo-v2.jpg&_nc_hash=AQAUqjjynrRP8pwQ	https://www.nytimes.com/2019/01/30/us/politics/howard-schultz-democrats-moderates.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T17:55:00+0000	1548870900	"2019-01-30 18:55:00"	115	283	154	22	459	8	23	2	2	4	0
link	post_page_5281959998	5281959998_10151812099809999	https://www.facebook.com/5281959998/posts/10151812099809999/	"Emma Coronel Aispuro s husband  El Chapo  has been either incarcerated or on the run for their entire married life. She tells us about their courtship and the weeks of testimony depicting her husband as a cruel killer."	https://external.xx.fbcdn.net/safe_image.php?d=AQDa1__pLp9aeH-J&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F21%2Fnyregion%2F00chapowife1-promo%2F00chapowife1-facebookJumbo.jpg&cfs=1&sx=286&sy=0&sw=550&sh=550&_nc_hash=AQBxA8F-aIBGYu5D	https://external.xx.fbcdn.net/safe_image.php?d=AQDMF2Al6RgxiOfr&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F21%2Fnyregion%2F00chapowife1-promo%2F00chapowife1-facebookJumbo.jpg&_nc_hash=AQAgR28ifA0j-v_x	https://www.nytimes.com/2019/01/30/nyregion/el-chapo-wife.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T17:25:00+0000	1548869100	"2019-01-30 18:25:00"	186	121	230	34	385	3	15	16	3	7	0
link	post_page_5281959998	5281959998_10151811923959999	https://www.facebook.com/5281959998/posts/10151811923959999/	" In our society  a car is not just a car   said the Thailand country director for Greenpeace Southeast Asia.  It s a representation of affluence and a symbol of ownership. It will be very hard to get people to give up their cars. "	https://external.xx.fbcdn.net/safe_image.php?d=AQAbhC6rv0StlMiW&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F30%2Fworld%2F30bangkok-pollution-1%2F30bangkok-pollution-1-facebookJumbo.jpg&cfs=1&_nc_hash=AQDDRXPskpA-61NI	https://external.xx.fbcdn.net/safe_image.php?d=AQBdJMjLw-gHKAoY&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F30%2Fworld%2F30bangkok-pollution-1%2F30bangkok-pollution-1-facebookJumbo.jpg&_nc_hash=AQAXPJRGP3quAedM	https://www.nytimes.com/2019/01/30/world/asia/pollution-thailand-bangkok.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T17:10:00+0000	1548868200	"2019-01-30 18:10:00"	129	52	221	84	357	1	3	9	62	17	0
link	post_page_5281959998	5281959998_10151812149789999	https://www.facebook.com/5281959998/posts/10151812149789999/	"More veterans will be able to choose private health care under new Trump administration rules. Critics fear public hospitals will lose funds."	https://external.xx.fbcdn.net/safe_image.php?d=AQCOiwHdRohTWaN2&w=130&h=130&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fus%2Fpolitics%2F31dc-VA%2F31dc-VA-facebookJumbo.jpg&cfs=1&_nc_hash=AQCa_2yREZJowtVi	https://external.xx.fbcdn.net/safe_image.php?d=AQC01UtxDHH7lPhA&url=https%3A%2F%2Fstatic01.nyt.com%2Fimages%2F2019%2F01%2F31%2Fus%2Fpolitics%2F31dc-VA%2F31dc-VA-facebookJumbo.jpg&_nc_hash=AQA56Ka5p5yAvCIF	https://www.nytimes.com/2019/01/30/us/politics/veterans-health-care.html?smid=fb-nytimes&smtyp=cur	nytimes.com	2019-01-30T16:55:00+0000	1548867300	"2019-01-30 17:55:00"	242	174	364	68	606	8	4	24	7	79	0
